time,latitude,longitude,depth_pressure,TEMPERATURE,SALINITY
27660.57314814815,-15.65407833,89.88003166666667,565.3,7.861,34.653
27660.57314814815,-15.65407833,89.88003166666667,567.3,7.861,34.652
27660.57314814815,-15.65407833,89.88003166666667,569.3,7.859,34.652
27660.57314814815,-15.65407833,89.88003166666667,571.3,7.84,34.653
27660.57314814815,-15.65407833,89.88003166666667,573.4,7.8,34.652
27660.57314814815,-15.65407833,89.88003166666667,575.4,7.788,34.652
27660.57314814815,-15.65407833,89.88003166666667,577.5,7.784,34.652
27660.57314814815,-15.65407833,89.88003166666667,579.5,7.784,34.652
27660.57314814815,-15.65407833,89.88003166666667,581.5,7.782,34.652
27660.57314814815,-15.65407833,89.88003166666667,583.5,7.756,34.653
27660.57314814815,-15.65407833,89.88003166666667,585.5,7.73,34.653
27660.57314814815,-15.65407833,89.88003166666667,587.5,7.71,34.652
27660.57314814815,-15.65407833,89.88003166666667,589.6,7.675,34.653
27660.57314814815,-15.65407833,89.88003166666667,591.6,7.672,34.653
27660.57314814815,-15.65407833,89.88003166666667,593.7,7.657,34.654
27660.57314814815,-15.65407833,89.88003166666667,595.7,7.643,34.655
27660.57314814815,-15.65407833,89.88003166666667,597.7,7.622,34.654
27660.57314814815,-15.65407833,89.88003166666667,599.8,7.616,34.653
27660.57314814815,-15.65407833,89.88003166666667,601.8,7.609,34.653
27660.57314814815,-15.65407833,89.88003166666667,603.8,7.577,34.655
27660.57314814815,-15.65407833,89.88003166666667,605.9,7.549,34.659
27660.57314814815,-15.65407833,89.88003166666667,607.5,7.543,34.66
27660.57314814815,-15.65407833,89.88003166666667,609,7.533,34.661
27660.57314814815,-15.65407833,89.88003166666667,611.1,7.514,34.664
27660.57314814815,-15.65407833,89.88003166666667,613.1,7.497,34.664
27660.57314814815,-15.65407833,89.88003166666667,615.2,7.489,34.665
27660.57314814815,-15.65407833,89.88003166666667,617.4,7.483,34.665
27660.57314814815,-15.65407833,89.88003166666667,619.4,7.481,34.665
27660.57314814815,-15.65407833,89.88003166666667,621.5,7.463,34.668
